Codes,New_Code,Borough,Names,Population_and_Age_Age_structure_(percentage)__2013_Aged_015,Population_and_Age_Age_structure_(percentage)__2013_Aged_1664,Population_and_Age_Age_structure_(percentage)__2013_Aged_65+,Population_and_Age_Aged_015_2013,Population_and_Age_Aged_1664_2013,Population_and_Age_Aged_65+_2013,Population_and_Age_All_ages_2013,Population_and_Age_Mean_age_2013,Population_and_Age_Median_age_2013,Area_and_Density_Population_density_(persons_per_sq_km)_2013,Diversity_Ethnic_Group_5_groups__2011_Census_White,Diversity_Ethnic_Group_5_groups__2011_Census_Mixed,Diversity_Ethnic_Group_5_groups__2011_Census_Asian_or_Asian_British,Diversity_Ethnic_Group_5_groups__2011_Census_Black_or_Black_British,Diversity_Ethnic_Group_5_groups__2011_Census_Other,Births_and_deaths_Births_2013,Births_and_deaths_Deaths_2013,Births_and_deaths_Standardised_Mortality_Ratio_(SMR)_2013,Life_Expectancy_Life_expectancy_at_age_65_(all_persons)_20092013,House_Prices_Median_House_Price_2013,Household_Income_Mean_Modelled_Household_income_(£)_2012/13,"Crime_Burglary,_Burglary_In_A_Dwelling_(2014)_","Crime_Burglary,_Burglary_In_Other_Buildings_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Dwelling_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Motor_Vehicle_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Other_Building_(2014)_","Crime_Drugs,_Drug_Trafficking_(2014)_","Crime_Drugs,_Possession_Of_Drugs_(2014)_","Crime_Robbery,_Business_Property_(2014)_","Crime_Robbery,_Personal_Property_(2014)_","Crime_Sexual_Offences,_Rape_(2014)_","Crime_Theft_&_Handling,_Handling_Stolen_Goods_(2014)_","Crime_Theft_&_Handling,_Motor_Vehicle_Interference_&_Tampering_(2014)_","Crime_Theft_&_Handling,_Theft_From_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft_From_Shops_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Pedal_Cycle_(2014)_","Crime_Violence_Against_The_Person,_Assault_With_Injury_(2014)_","Crime_Violence_Against_The_Person,_Common_Assault_(2014)_","Crime_Violence_Against_The_Person,_Harassment_(2014)_","Crime_Violence_Against_The_Person,_Offensive_Weapon_(2014)_","Crime_Violence_Against_The_Person,_Wounding/GBH_(2014)_",Crime_Total_crime_rate_2013/14,Crime_Total_crime_(numbers)_2013/14
00AFGX,E05000123,Bromley,Penge and Cator,21.24645892,68.55524079,10.4815864,3800,12100,1850,17700,35.75850552,36,5883.333333,11336,1151,1087,3482,270,301,84,90.9,21.52171373,289950,45390,119,53,45,97,17,6,83,4,38,18,4,21,129,78,44,20,101,130,162,6,66,85.04167605,1511
00AFGY,E05000124,Bromley,Petts Wood and Knoll,18.41155235,59.566787,22.02166065,2550,8300,3050,13900,42.81284271,45,3220.930233,12398,260,722,212,59,146,96,62.9,23.00874596,417500,63410,62,33,9,27,3,0,12,2,4,2,0,14,57,59,12,4,23,26,41,1,10,34.77761012,484
00AFGZ,E05000125,Bromley,Plaistow and Sundridge,20.12987013,64.61038961,15.25974026,3150,9950,2350,15450,38.77623377,38,3850,12196,640,875,1204,207,236,178,131.6,18.51510406,268000,50000,85,19,25,30,8,6,49,1,8,6,2,10,46,17,36,5,65,57,77,1,25,49.45694337,766
00AFHA,E05000126,Bromley,Shortlands,17.91044776,60.69651741,21.39303483,1800,6100,2150,10050,42.47911058,44,4020,8288,317,735,305,179,97,63,53.3,24.12817799,348750,62610,56,15,13,14,1,0,22,0,1,2,0,10,63,2,10,2,20,20,22,2,4,32.50820161,327
00AFHB,E05000127,Bromley,West Wickham,18.48184818,61.05610561,20.79207921,2750,9300,3100,15150,42.2900839,45,3443.181818,13305,475,649,372,83,104,120,68.5,21.23821817,400000,59830,69,20,5,20,5,1,16,4,2,4,0,5,59,32,7,8,21,38,34,0,9,29.39049247,447
00AGGD,E05000128,Camden,Belsize,17.64705882,69.41176471,12.94117647,2250,8900,1600,12750,37.080721,35,15937.5,9169,681,1663,774,415,219,60,70.8,23.82376284,825000,84280,56,39,16,20,2,4,18,3,21,7,0,15,106,20,51,20,31,44,42,1,12,52.52918288,676
00AGGE,E05000129,Camden,Bloomsbury,6.86695279,83.69098712,9.871244635,750,9550,1100,11450,34.10400206,28,11650,6491,500,2712,731,458,62,39,71.2,23.59016174,537250,62190,82,208,15,36,26,8,131,7,110,14,8,22,126,185,71,228,90,159,159,7,50,332.8425429,3846
00AGGF,E05000130,Camden,Camden Town with Primrose Hill,15.05791506,72.97297297,11.96911197,1900,9500,1550,12950,37.3021855,35,10791.66667,9278,665,1441,874,355,161,71,94.2,23.01168291,695000,71650,86,117,21,50,36,35,652,14,115,8,12,18,118,225,74,101,210,223,178,14,137,328.3010192,4293
00AGGG,E05000131,Camden,Cantelowes,15.85365854,74.3902439,9.349593496,1900,9300,1150,12300,34.64374745,31,15375,8119,714,1516,1258,318,142,55,92.7,21.7399744,450000,60060,88,52,39,45,6,6,62,2,26,8,2,10,61,23,45,63,68,70,88,3,33,92.81340638,1152
00AGGH,E05000132,Camden,Fortune Green,15.41666667,74.16666667,10.41666667,1850,8950,1200,12000,36.00817484,33,12000,8334,703,1355,798,550,178,39,61.8,23.52436073,538000,73370,100,43,14,19,4,3,18,2,29,3,0,5,54,3,32,14,40,62,55,7,19,56.26810095,680
00AGGJ,E05000133,Camden,Frognal and Fitzjohns,17.21311475,68.44262295,14.3442623,2050,8300,1750,12100,37.61805042,35,8133.333333,8894,730,1610,317,435,179,76,76.3,23.44417749,900000,99430,97,44,5,16,3,1,25,3,17,4,0,26,161,10,38,15,22,26,40,2,8,57.8735962,707
00AGGK,E05000134,Camden,Gospel Oak,18.77729258,68.55895197,12.66375546,2150,7850,1400,11400,36.98524919,35,16357.14286,7869,738,1324,944,389,152,61,78.2,21.52772183,526500,61590,70,48,29,39,10,5,27,3,11,9,0,7,72,4,39,22,48,60,65,2,19,59.05374848,680
00AGGL,E05000135,Camden,Hampstead Town,17.18061674,66.07929515,16.74008811,2000,7450,1850,11300,39.93892458,39,4540,9019,625,1045,315,266,137,57,54.9,25.18429758,1012500,104710,66,56,10,28,6,1,12,3,22,2,1,34,127,67,59,38,28,36,46,0,12,85.44081489,973
00AGGM,E05000136,Camden,Haverstock,19.04761905,69.44444444,11.50793651,2400,8800,1450,12600,35.06753864,32,18000,7780,753,1894,1451,486,180,75,94.7,21.2735495,437500,54740,77,41,19,32,9,4,77,2,39,8,3,10,59,6,40,33,77,96,118,6,55,77.34719597,983
